Verslóritgerðir	nvfn-s	Verslóritgerðir
3.2	ta	3.2
útfærð	sþgven	útfæra
og	c	og
niðurstöður	nvfn	niðurstaða
teknar	sþgvfn	taka
út	aa	út
fyrir	ao	fyrir
sömu	fbhfo	sami
tvö	tfhfo	tveir
tímabil	nhfo	tímabil
og	c	og
hér	aa	hér
að	aa	að
ofan	aa	ofan
,	,	,
þ.e.	as	þ.e.
fyrir	ao	fyrir
daglega	lveosf	daglegur
ávöxtun	nveo	ávöxtun
frá	aþ	frá
1997	ta	1997
til	aa	til
2001	ta	2001
og	c	og
frá	aþ	frá
2002	ta	2002
til	aa	til
2006	ta	2006
.	.	.

Niðurstöðurnar	nvfog	niðurstaða
fyrir	ao	fyrir
p	x	p
=	=	=
1,...,5	ta	1,...,5
má	sfg3en	mega
sjá	sng	sjá
í	aþ	í
töflu	nveþ	tafla
4.3.	ta	4.3.

Taflan	nveng	tafla
sýnir	sfg3en	sýna
prófstærðina	nveog	prófstærð
TR2	x	TR2
,	,	,
sem	ct	sem
sett	sþgven	setja
var	sfg3eþ	vera
fram	aa	fram
í	aþ	í
jöfnu	nveþ	jafna
20	ta	20
,	,	,
þar	aa	þar
sem	c	sem
T	nhen	t
er	sfg3en	vera
fjöldi	nken	fjöldi
mælinga	nvfe	mæling
og	c	og
R2	x	r2
eru	sfg3fn	vera
mátgæði	nhfn	mátgæði
aðhvarfslíkansins	nheeg	aðhvarfslíkan
.	.	.

Úrvalsvísitala	nven-s	Úrvalsvísitala
-	-	-
Mat	nhen	mat
á	aþ	á
ARCH	e	ARCH
áhrifum	nhfþ	áhrif
1997-2001	ta	1997-2001
og	c	og
2002-2006	ta	2002-2006

Tafla	nven	tafla
4.4	ta	4.4

Núlltilgátunni	nveþg	núlltilgáta
um	ao	um
að	c	að
dreifni	nven	dreifni
ávöxtunar	nvee	ávöxtun
sé	svg3en	vera
einsleit	lvensf	einsleitur
(	(	(
e.	as	e.
homoscedastic	e	homoscedastic
)	)	)
er	sfg3en	vera
hafnað	sþghen	hafna
með	aþ	með
afgerandi	lkeþof	afgerandi
hætti	nkeþ	háttur
fyrir	ao	fyrir
öll	fohfo	allur
gildi	nhfo	gildi
p	nhee	p
sem	ct	sem
prófuð	sþghfn	prófa
voru	sfg3fþ	vera
og	c	og
fyrir	ao	fyrir
bæði	fohfo	báðir
tímabilin	nhfog	tímabil
.	.	.

5	ta	5
Niðurstöður	nvfn	niðurstaða

Þær	favfn	sá
hugmyndir	nvfn	hugmynd
og	c	og
kenningar	nvfn	kenning
sem	ct	sem
hefur	sfg3en	hafa
verið	ssg	vera
fjallað	sþghen	fjalla
um	aa	um
í	aþ	í
þessari	faveþ	þessi
ritgerð	nveþ	ritgerð
voru	sfg3fþ	vera
útfærðar	sþgvfn	útfæra
og	c	og
prófaðar	sþgvfn	prófa
.	.	.

Athyglinni	nveþg	athygli
var	sfg3eþ	vera
beint	sþghen	beina
að	aþ	að
Íslandi	nheþ-s	Ísland
.	.	.

Í	aþ	í
fyrsta	lheþve	fyrstur
lagi	nheþ	lag
var	sfg3eþ	vera
ætlunin	nveng	ætlun
að	cn	að
kanna	sng	kanna
verðlagningu	nveo	verðlagning
áhættu	nvee	áhætta
á	aþ	á
íslenskum	lkeþsf	íslenskur
hlutabréfamarkaði	nkeþ	hlutabréfamarkaður
með	aþ	með
því	fpheþ	það
að	cn	að
meta	sng	meta
Sharpe	e	Sharpe
hlutfall	nheo	hlutfall
fyrir	ao	fyrir
úrvalsvísitöluna	nveog	úrvalsvísitala
.	.	.

Tekin	sþghfn	taka
voru	sfg3fþ	vera
sérstaklega	aa	sérstaklega
út	aa	út
tímabil	nhfn	tímabil
sem	ct	sem
einkenndust	sfm3fþ	einkenna
af	aþ	af
hækkunum	nvfþ	hækkun
,	,	,
eins	aa	eins
og	c	og
frá	aþ	frá
miðju	lheþsf	miður
ári	nheþ	ár
2003	ta	2003
til	aa	til
feb-mars	nkee	feb-mars
2006	ta	2006
,	,	,
eða	c	eða
lækkunum	nvfþ	lækkun
,	,	,
t.d.	as	t.d.
frá	aþ	frá
byrjun	nveþ	byrjun
ársins	nheeg	ár
2000	ta	2000
fram	aa	fram
til	ae	til
2002	ta	2002
.	.	.

Því	fpheþ	það
næst	aþe	nærri
voru	sfg3fþ	vera
teknar	sþgvfn	taka
saman	aa	saman
niðurstöður	nvfn	niðurstaða
mats	nhee	mat
á	aþ	á
áræðanleika	nkeþ	áræðanleiki
tveggja	tfvfe	tveir
hámörkunaraðferða	nvfe	hámörkunaraðferð
fyrir	ao	fyrir
ARCH	e	ARCH
(	(	(
1	ta	1
)	)	)
líkanið	nheng	líkan
.	.	.

Að	aþ	að
lokum	nhfþ	lok
var	sfg3eþ	vera
mat	nhen	mat
á	aþ	á
stikum	nkfþ	stiki
ARCH-M	e	ARCH-M
líkans	nhee	líkan
sett	sþghen	setja
fram	aa	fram
fyrir	ao	fyrir
gögn	nhfo	gagn
um	ao	um
verðbreytingar	nvfo	verðbreyting
Úrvalsvísitölunnar	nveegs	úrvalsvísitala
og	c	og
út	aa	út
frá	aþ	frá
því	fpheþ	það
dregnar	sþgvfn	draga
ályktanir	nvfn	ályktun
um	ao	um
tengsl	nhfo	tengsl
ávöxtunar	nvee	ávöxtun
og	c	og
áhættu	nvee	áhætta
á	aþ	á
íslenskum	lkeþsf	íslenskur
hlutabréfamarkaði	nkeþ	hlutabréfamarkaður
.	.	.

5.1	ta	5.1
Sharpe	e	Sharpe
hlutfall	nhen	hlutfall
Tafla	nven	tafla
5.1	ta	5.1
sýnir	sfg3en	sýna
meðalávöxtun	nveo	meðalávöxtun
á	ao	á
dag	nkeo	dagur
,	,	,
staðalfrávik	nheo	staðalfrávik
hennar	fpvee	hún
og	c	og
Sharpe	e	Sharpe
hlutfall	nheo	hlutfall
ávöxtunar	nvee	ávöxtun
úrvalsvísitölunnar	nveeg	úrvalsvísitala
fyrir	ao	fyrir
árin	nhfog	ár
2000	ta	2000
til	aa	til
2005	ta	2005
.	.	.

Yfir	ao	yfir
árin	nhfog	ár
2000	ta	2000
og	c	og
2001	ta	2001
lækkaði	sfg3eþ	lækka
úrvalsvísitalan	nveng	úrvalsvísitala
og	c	og
olli	sfg3eþ	valda
lækkunin	nveng	lækkun
þá	aa	þá
neikvæðu	lheþsf	neikvæður
Sharpe	e	Sharpe
hlutfalli	nheþ	hlutfall
.	.	.

Hlutfallið	nheng	hlutfall
hækkaði	sfg3eþ	hækka
svo	aa	svo
og	c	og
stóð	sfg3eþ	standa
í	aþ	í
0,28	ta	0,28
fyrir	ao	fyrir
árið	nheog	ár
2005	ta	2005
.	.	.

Neikvætt	lheosf	neikvæður
Sharpe	e	Sharpe
hlufall	nheo	hlutfall
er	sfg3en	vera
ekki	aa	ekki
hægt	lhensf	hægur
að	cn	að
túlka	sng	túlka
sem	c	sem
merki	nheo	merki
um	ao	um
að	c	að
fjárfestar	nkfn	fjárfestir
vilji	svg3fn	vilja
meiri	lveovm	mikill
óvissu	nveo	óvissa
um	ao	um
ávöxtun	nveo	ávöxtun
frekar	aam	frekar
en	c	en
minni	lveovm	lítill
,	,	,
og	c	og
teljist	svm3fn	telja
því	aa	því
áhættusæknir	lkfnsf	áhættusækinn
.	.	.

Hér	aa	hér
er	sfg3en	vera
um	ao	um
að	cn	að
ræða	sng	ræða
Ex	e	Ex
post	e	post
mælingu	nveo	mæling
en	c	en
slíkar	fbvfn	slíkur
mælingar	nvfn	mæling
eru	sfg3fn	vera
gjarnan	aa	gjarnan
notaðar	sþgvfn	nota
til	ae	til
að	cn	að
bera	sng	bera
saman	aa	saman
árangur	nkeo	árangur
markaða	nkfe	markaður
eða	c	eða
sjóða	nkfe	sjóður
og	c	og
sú	faven	sá
er	sfg3en	vera
í	aþ	í
raun	nveþ	raun
algengasta	lvenve	algengur
notkun	nven	notkun
Sharpe	e	Sharpe
hlutfallsins	nheeg	hlutfall
.	.	.

Líklegra	lhenvm	líklegur
er	sfg3en	vera
að	c	að
væntingar	nvfn	vænting
fjárfesta	nkfe	fjárfestir
um	ao	um
ávöxtun	nveo	ávöxtun
á	aþ	á
markaði	nkeþ	markaður
hafi	svg3fn	hafa
einfaldlega	aa	einfaldlega
ekki	aa	ekki
orðið	ssg	verða
að	aþ	að
veruleika	nkeþ	veruleiki
.	.	.

Tafla	nven	tafla
5.1	ta	5.1

Til	ae	til
að	cn	að
kanna	sng	kanna
Sharpe	e	Sharpe
hlutfall	nheo	hlutfall
á	aþ	á
tímum	nkfþ	tími
sem	ct	sem
einkenndust	sfm3fþ	einkenna
af	aþ	af
verðhækkunum	nvfþ	verðhækkun
var	sfg3eþ	vera
tekið	sþghen	taka
út	aa	út
tímabilið	nheng	tímabil
frá	aþ	frá
byrjun	nveþ	byrjun
júní	nkee	júní
2003	ta	2003
til	ae	til
febrúarloka	nhfe	febrúarlok
2006	ta	2006
.	.	.

Sharpe	e	Sharpe
hlutfall	nhen	hlutfall
þessa	fahee	þessi
tímabils	nhee	tímabil
mældist	sfm3eþ	mæla
0,25	ta	0,25
með	ao	með
staðalskekkju	nveo	staðalskekkja
0,04	ta	0,04
,	,	,
að	aþ	að
gefinni	lveþsf	gefinn
þeirri	faveþ	sá
forsendu	nveþ	forsenda
að	c	að
ávöxtun	nven	ávöxtun
væri	svg3eþ	vera
IID	x	iid
ferli	nhen	ferli
.	.	.

Þegar	c	þegar
staðalskekkja	nven	staðalskekkja
var	sfg3eþ	vera
leiðrétt	sþgven	leiðrétta
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
samdreifni	nvee	samdreifni
breytist	sfm3en	breyta
hún	fpven	hún
lítillega	aa	lítillega
en	c	en
mældist	sfm3eþ	mæla
enn	aa	enn
um	aa	um
0,04	ta	0,04
.	.	.

Fyrir	ao	fyrir
tímabilið	nheog	tímabil
frá	aþ	frá
ársbyrjun	nveþ	ársbyrjun
2000	ta	2000
til	ae	til
ársloka	nhfe	árslok
2001	ta	2001
mældist	sfm3eþ	mæla
Sharpe	e	Sharpe
hlutfallið	nheng	hlutfall
-	-	-
0,06	ta	0,06
og	c	og
staðalskekkja	nven	staðalskekkja
0,05	ta	0,05
.	.	.

Mynd	nven	mynd
5.1	ta	5.1
sýnir	sfg3en	sýna
mánaðarlega	lveosf	mánaðarlegur
og	c	og
árlega	lveosf	árlegur
þróun	nveo	þróun
Sharpe	e	Sharpe
hlutfallsins	nheeg	hlutfall
fyrir	ao	fyrir
íslensku	lveovf	íslenskur
Úrvalsvísitöluna	nveogs	Úrvalsvísitala
frá	aþ	frá
byrjun	nveþ	byrjun
ársins	nheeg	ár
2000	ta	2000
til	ae	til
ársloka	nhfe	árslok
2005	ta	2005
.	.	.

Sharpe	e	Sharpe
hlufallið	nheng	hlutfall
mældist	sfm3eþ	mæla
nálægt	aþ	nálægt
núlli	nheþ	núll
fyrstu	lhfove	fyrstur
tvö	tfhfo	tveir
árin	nhfog	ár
sem	ct	sem
voru	sfg3fþ	vera
skoðuð	sþghfn	skoða
en	c	en
hækkaði	sfg3eþ	hækka
svo	aa	svo
og	c	og
seinni	lhfovm	seinn
fjögur	tfhfo	fjórir
árin	nhfog	ár
mældist	sfm3eþ	mæla
það	fphen	það
jákvætt	lhensf	jákvæður
.	.	.

Eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
leið	sfg3eþ	líða
á	ao	á
tímabilið	nheog	tímabil
fengu	sfg3fþ	fá
fjárfestar	nkfn	fjárfestir
því	aa	því
meira	aam	meira
greitt	sþghen	greiða
fyrir	ao	fyrir
að	cn	að
taka	sng	taka
þá	faveo	sá
áhættu	nveo	áhætta
að	cn	að
fjárfesta	sng	fjárfesta
á	aþ	á
þessum	fakeþ	þessi
markaði	nkeþ	markaður
.	.	.

Þessi	faven	þessi
niðurstaða	nven	niðurstaða
segir	sfg3en	segja
ekkert	foheo	enginn
til	aa	til
um	ao	um
það	fpheo	það
hvaða	fsvfo	hvaða
væntingar	nvfo	vænting
fjárfestar	nkfn	fjárfestir
höfðu	sfg3fþ	hafa
til	ae	til
markaðarins	nkeeg	markaður
heldur	c	heldur
er	sfg3en	vera
þetta	fahen	þessi
mæling	nven	mæling
á	aþ	á
frammistöðu	nveþ	frammistaða
markaðarins	nkeeg	markaður
eftir	aa	eftir
á	aa	á
.	.	.

Mynd	nven	mynd
5.1	ta	5.1
-	-	-
Sharpe	e	Sharpe
hlutfall	nhen	hlutfall
,	,	,
2000-2005	ta	2000-2005

5.2	ta	5.2
Hermun	nven	hermun
Töluleg	lvensf	tölulegur
hámörkun	nven	hámörkun
sennileikafalls	nhee	sennileikafall
flöktlíkana	nhfe	flöktlíkan
reynist	sfm3en	reyna
oft	aa	oft
erfiðleikum	nkfþ	erfiðleiki
háð	lvensf	háður
og	c	og
til	ae	til
að	cn	að
meta	sng	meta
frammistöðu	nveo	frammistaða
DLR	as	DL
aðferðarinnar	nveeg	aðferð
,	,	,
miðað	sþghen	miða
við	ao	við
hefðbundnari	lveovm	hefðbundinn
Newton	e	Newton
hámörkun	nveo	hámörkun
,	,	,
46	ta	46
voru	sfg3fþ	vera
gerðar	sþgvfn	gera
tilraunir	nvfn	tilraun
á	aþ	á
hermdum	lhfþsf	hermdur
gögnum	nhfþ	gagn
úr	aþ	úr
ARCH	e	ARCH
(	(	(
1	ta	1
)	)	)
ferli	nheþ	ferli
(	(	(
þ.e.	as	þ.e.
ferlið	nheng	ferli
í	aþ	í
jöfnum	nvfþ	jafna
20a	ta	20a
og	c	og
20b	ta	20b
með	ao	með
p	x	p
=	=	=
1	ta	1
)	)	)
.	.	.

Valin	sþghfn	velja
voru	sfg3fþ	vera
tvö	tfhfn	tveir
ólík	lhfnsf	ólíkur
gildi	nhfn	gildi
á	aa	á
(	(	(
jafna	nven	jafna
)	)	)
og	c	og
(	(	(
jafna	nven	jafna
)	)	)
.	.	.

Lengd	nven	lengd
tímaraðanna	nvfeg	tímaröð
(	(	(
táknuð	sþgven	tákna
með	aþ	með
T	nheþ	t
)	)	)
var	sfg3eþ	vera
annars	fokee	annar
vegar	nkee	vegur
250	ta	250
mælingar	nvfn	mæling
og	c	og
hins	fakee	hinn
vegar	nkee	vegur
2500	ta	2500
mælingar	nvfn	mæling
.	.	.

Gerðar	sþgvfn	gera
voru	sfg3fþ	vera
100	ta	100
tilraunir	nvfn	tilraun
fyrir	ao	fyrir
hvert	foheo	hver
ferli	nheo	ferli
,	,	,
alls	fohee	allur
fjórar	tfvfn	fjórir
tilraunir	nvfn	tilraun
,	,	,
og	c	og
skemmst	lhense	skammur
er	sfg3en	vera
frá	aþ	frá
því	fpheþ	það
að	cn	að
segja	sng	segja
að	c	að
báðar	fovfn	báðir
aðferðirnar	nvfng	aðferð
fundu	sfg3fþ	finna
lausn	nveo	lausn
í	aþ	í
öllum	fohfþ	allur
tilfellum	nhfþ	tilfelli
.	.	.

Þegar	c	þegar
mælingar	nvfn	mæling
voru	sfg3fþ	vera
aðeins	aa	aðeins
250	ta	250
mældist	sfm3eþ	mæla
stikinn	nkeng	stiki
(	(	(
tákn	nhen	tákn
)	)	)
öðru	foheþ	annar
hverju	foheþ	hver
neikvæður	lkensf	neikvæður
,	,	,
þ.e.	as	þ.e.
punktmatið	nheng	punktmat
var	sfg3eþ	vera
utan	ae	utan
gjaldgenga	lheevf	gjaldgengur
svæðis	nhee	svæði
stikans	nkeeg	stiki
.	.	.

Í	aþ	í
öllum	fohfþ	allur
þeim	fahfþ	sá
tilfellum	nhfþ	tilfelli
skiluðu	sfg3fþ	skila
báðar	fovfn	báðir
aðferðirnar	nvfng	aðferð
slíkri	fbveþ	slíkur
niðurstöðu	nveþ	niðurstaða
en	c	en
ekki	aa	ekki
bara	aa	bara
önnur	foven	annar
þeirra	fpvfe	hún
,	,	,
þ.e.	as	þ.e.
formerki	nhen	formerki
punktmatsins	nheeg	punktmat
var	sfg3eþ	vera
alltaf	aa	alltaf
það	fahen	sá
sama	fbhen	sami
.	.	.

Punktmat	nheo	punktmat
hermdra	lhfesf	hermdur
gilda	nhfe	gildi
fyrir	ao	fyrir
T	x	t
=	=	=
250	ta	250
og	c	og
T	x	t
=	=	=
2500	ta	2500
má	sfg3en	mega
sjá	sng	sjá
á	aþ	á
myndum	nvfþ	mynd
5.2a	ta	5.2a
og	c	og
5.2b	ta	5.2b
.	.	.

Mat	nhen	mat
Newton	e	Newton
aðferðarinnar	nveeg	aðferð
er	sfg3en	vera
merkt	sþghen	merkja
með	aþ	með
punkti	nkeþ	punktur
en	c	en
mat	nhen	mat
DLR	as	DLR
aðferðarinnar	nveeg	aðferð
með	aþ	með
stjörnu	nveþ	stjarna
.	.	.

Mynd	nven	mynd
5.2a	ta	5.2a
Mynd	nven	mynd
5.2b	ta	5.2b
Þegar	c	þegar
hermdum	lvfþsf	hermdur
mælingum	nvfþ	mæling
var	sfg3eþ	vera
fjölgað	sþghen	fjölga
upp	aa	upp
í	ao	í
2500	ta	2500
dreifðist	sfm3eþ	dreifa
punktmat	nhen	punktmat
aðferðanna	nvfeg	aðferð
ekki	aa	ekki
jafn	aa	jafn
víða	aa	víða
,	,	,
fór	sfg3eþ	fara
aldrei	aa	aldrei
niður	aa	niður
fyrir	ao	fyrir
0,05	ta	0,05
,	,	,
og	c	og
mesti	lkenve	mikill
munur	nken	munur
milli	ae	milli
aðferðanna	nvfeg	aðferð
tveggja	tfvfe	tveir
,	,	,
þ.e.	as	þ.e.
hlutfallið	nheng	hlutfall
(	(	(
jafna	nven	jafna
)	)	)
var	sfg3eþ	vera
um	aa	um
3%	tp	3%
.	.	.

Á	aþ	á
myndum	nvfþ	mynd
5.3a	ta	5.3a
og	c	og
5.3b	ta	5.3b
má	sfg3en	mega
sjá	sng	sjá
hlutfallið	nheog	hlutfall
fyrir	ao	fyrir
hermd	lhfosf	hermdur
ARCH	e	ARCH
ferli	nhfo	ferli
með	aa	með
(	(	(
jafna	nven	jafna
)	)	)
.	.	.

Mismunur	nken	mismunur
á	aþ	á
mati	nheþ	mat
aðferðanna	nvfeg	aðferð
er	sfg3en	vera
oft	aa	oft
þó	aa	þó
nokkur	foken	nokkur
þegar	c	þegar
T	x	t
=	=	=
250	ta	250
en	c	en
minnkar	sfg3en	minnka
umtalsvert	aa	umtalsvert
þegar	c	þegar
T	nheþ	t
er	sfg3en	vera
aukið	sþghen	auka
.	.	.

Mynd	nven	mynd
5.3a	ta	5.3a
Mynd	nven	mynd
5.3b	ta	5.3b
Aðferðirnar	nvfng	aðferð
dugðu	sfg3fþ	duga
báðar	fovfn	báðir
vel	aa	vel
til	ae	til
að	cn	að
meta	sng	meta
stika	nkfe	stiki
ARCH	e	ARCH
(	(	(
1	ta	1
)	)	)
líkansins	nheeg	líkan
og	c	og
engan	fokeo	enginn
kerfisbundinn	lkeosf	kerfisbundinn
mun	nkeo	munur
var	sfg3eþ	vera
að	cn	að
merkja	sng	merkja
en	c	en
það	fahen	sá
sem	ct	sem
eftir	aa	eftir
stendur	sfg3en	standa
er	sfg3en	vera
þá	aa	þá
að	c	að
DLR	as	DLR
aðferðina	nveog	aðferð
er	sfg3en	vera
umtalsvert	aa	umtalsvert
fljótlegra	lhenvm	fljótlegur
að	cn	að
útfæra	sng	útfæra
.	.	.

DLR	as	DLR
aðferðin	nveng	aðferð
virtist	sfm3eþ	virða
einnig	aa	einnig
mun	nkeþ	munur
hraðvirkari	lvenvm	hraðvirkur
þó	aa	þó
svo	aa	svo
að	c	að
formlegt	lhensf	formlegur
mat	nhen	mat
á	aþ	á
útreikningstíma	nkeþ	útreikningstími
hafi	svg3en	hafa
ekki	aa	ekki
verið	ssg	vera
gert	sþghen	gera
,	,	,
enda	c	enda
er	sfg3en	vera
það	fphen	það
utan	ae	utan
efnistaka	nhfe	efnistak
þessarar	favee	þessi
ritgerðar	nvee	ritgerð
.	.	.

5.3	ta	5.3
Mat	nhen	mat
á	aþ	á
tengslum	nhfþ	tengsl
áhættu	nvee	áhætta
og	c	og
ávöxtunar	nvee	ávöxtun
Til	ae	til
að	cn	að
kanna	sng	kanna
tengsl	nhfo	tengsl
ávöxtunar	nvee	ávöxtun
og	c	og
áhættu	nvee	áhætta
á	aþ	á
íslenskum	lkeþsf	íslenskur
hlutabréfamarkaði	nkeþ	hlutabréfamarkaður
voru	sfg3fþ	vera
stikar	nkfn	stiki
ARCH-M	e	ARCH-M
líkans	nhee	líkan
metnir	sþgkfn	meta
fyrir	ao	fyrir
gögn	nhfo	gagn
um	ao	um
breytingar	nvfo	breyting
Úrvalsvísitölunnar	nveegs	úrvalsvísitala
.	.	.

Gögnin	nhfng	gagn
sem	ct	sem
unnið	sþghen	vinna
var	sfg3eþ	vera
með	aa	með
náðu	sfg3fþ	ná
frá	aþ	frá
ársbyrjun	nveþ	ársbyrjun
1997	ta	1997
til	ae	til
ársloka	nhfe	árslok
2006	ta	2006
,	,	,
alls	aa	alls
10	ta	10
ár	nhfn	ár
,	,	,
2481	ta	2481
mæling	nven	mæling
.	.	.

Líkanið	nheng	líkan
er	sfg3en	vera
sett	sþghen	setja
fram	aa	fram
í	aþ	í
jöfnum	nvfþ	jafna
26a	ta	26a
og	c	og
26b	ta	26b
og	c	og
í	aþ	í
töflu	nveþ	tafla
5.2	ta	5.2
má	sfg3en	mega
sjá	sng	sjá
mat	nheo	mat
á	aþ	á
stikum	nkfþ	stiki
líkansins	nheeg	líkan
(	(	(
og	c	og
staðalfráviki	nheþ	staðalfrávik
matsins	nheeg	mat
í	aþ	í
sviga	nkeþ	svigi
)	)	)
,	,	,
fyrst	aae	fyrr
fyrir	ao	fyrir
allt	foheo	allur
tímabilið	nheog	tímabil
og	c	og
svo	aa	svo
fyrir	ao	fyrir
fyrri	lkeovm	fyrri
og	c	og
seinni	lkeovm	seinn
helming	nkeo	helmingur
þess	fphee	það
.	.	.

Tafla	nven	tafla
5.2	ta	5.2
-	-	-
Mat	nhen	mat
á	aþ	á
stikum	nkfþ	stiki
ARCH-M	e	ARCH-M
líkans	nhee	líkan
Niðurstöðurnar	nvfng	niðurstaða
sem	ct	sem
birtar	sþgvfn	birta
eru	sfg3fn	vera
í	aþ	í
töflu	nveþ	tafla
5.2	ta	5.2
gefa	sfg3fn	gefa
nokkuð	fohen	nokkur
tvíræða	lveosf	tvíræður
niðurstöðu	nveo	niðurstaða
.	.	.

Þegar	c	þegar
horft	sþghen	horfa
er	sfg3en	vera
á	ao	á
allt	foheo	allur
10	ta	10
ára	nhfe	ár
tímabilið	nheog	tímabil
mælist	sfm3en	mæla
stikinn	nkeng	stiki
(	(	(
tákn	nhen	tákn
)	)	)
jákvæður	lkensf	jákvæður
sem	ct	sem
merkir	sfg3en	merkja
að	c	að
aukningu	nveþ	aukning
í	aþ	í
flökti	nheþ	flökt
ávöxtunar	nvee	ávöxtun
fylgir	sfg3en	fylgja
hærri	lvenvm	hár
ávöxtun	nven	ávöxtun
en	c	en
ella	aa	ella
.	.	.

Slík	fbven	slíkur
niðurstaða	nven	niðurstaða
er	sfg3en	vera
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
þær	favfo	sá
kenningar	nvfo	kenning
sem	ct	sem
fjallað	sþghen	fjalla
var	sfg3eþ	vera
um	aa	um
í	aþ	í
kafla	nkeþ	kafli
2	ta	2
.	.	.

En	c	en
þegar	c	þegar
tímabilinu	nheþg	tímabil
er	sfg3en	vera
skipt	sþghen	skipta
í	ao	í
tvennt	lheosf	tvennur
og	c	og
fyrri	lkenvm	fyrri
og	c	og
seinni	lkenvm	seinn
helmingur	nken	helmingur
þess	fphee	það
skoðaður	sþgken	skoða
hvor	foken	hvor
fyrir	ao	fyrir
sig	fpkeo	sig
sést	sfm3en	sjá
að	c	að
stikinn	nkeng	stiki
var	sfg3eþ	vera
hár	lkensf	hár
yfir	ao	yfir
fyrri	lkeovm	fyrri
helminginn	nkeog	helmingur
en	c	en
lækkar	sfg3en	lækka
og	c	og
mælist	sfm3en	mæla
neikvæður	lkensf	neikvæður
á	aþ	á
þeim	fakeþ	sá
síðari	lkeþvm	síðari
.	.	.

Neikvæður	lkensf	neikvæður
stiki	nken	stiki
(	(	(
tákn	nhen	tákn
)	)	)
er	sfg3en	vera
vísbending	nven	vísbending
um	ao	um
neikvætt	lheosf	neikvæður
áhættuálag	nheo	áhættuálag
sem	ct	sem
má	sfg3en	mega
túlka	sng	túlka
sem	c	sem
svo	aa	svo
að	c	að
fjárfestar	nkfn	fjárfestir
krefjist	svm3fn	krefja
ekki	aa	ekki
jafn	aa	jafn
hárrar	lveesf	hár
ávöxtunar	nvee	ávöxtun
er	c	er
óvissa	nven	óvissa
um	ao	um
hana	fpveo	hún
eykst	sfm3en	auka
.	.	.

6	ta	6
Samantekt	nven	samantekt

Niðurstöður	nvfn	niðurstaða
á	ao	á
borð	nheo	borð
við	ao	við
þessa	faveo	þessi
,	,	,
að	c	að
áhættuálag	nhen	áhættuálag
mælist	svm3en	mæla
neikvætt	lhensf	neikvæður
,	,	,
hafa	sfg3fn	hafa
verið	ssg	vera
umfjöllunarefni	nhen	umfjöllunarefni
margra	lkfesf	margur
því	fpheþ	það
eins	aa	eins
og	c	og
fram	aa	fram
hefur	sfg3en	hafa
komið	ssg	koma
eru	sfg3fn	vera
þær	fpvfn	hún
í	aþ	í
mótsögn	nveþ	mótsögn
við	ao	við
ríkjandi	lvfoof	ríkjandi
kenningar	nvfo	kenning
.	.	.

Þær	fpvfn	hún
vekja	sfg3fn	vekja
upp	aa	upp
spurningar	nvfo	spurning
eins	aa	eins
og	c	og
þá	faveo	sá
hvort	c	hvort
fjárfestar	nkfn	fjárfestir
geti	svg3fn	geta
við	ao	við
einhverjar	fovfo	einhver
aðstæður	nvfo	aðstæður
verið	ssg	vera
áhættusæknir	lkfnsf	áhættusækinn
eða	c	eða
hvort	c	hvort
þeir	fpkfn	hann
skilgreini	svg3fn	skilgreina
áhættu	nveo	áhætta
á	ao	á
annan	fokeo	annar
og	c	og
flóknari	lkeovm	flókinn
hátt	nkeo	háttur
.	.	.

En	c	en
kenningarnar	nvfng	kenning
eru	sfg3fn	vera
rótgrónar	lvfnsf	rótgróinn
og	c	og
ályktun	nven	ályktun
flestra	lkfese	margur
er	sfg3en	vera
sú	faven	sá
að	c	að
líkönin	nhfng	líkan
séu	svg3fn	vera
rangt	aa	rangt
skilgreind	sþghfn	skilgreina
og	c	og
horfi	svg3fn	horfa
fram	aa	fram
hjá	aþ	hjá
óútskýrðum	lkfþsf	óútskýrður
en	c	en
mikilvægum	lkfþsf	mikilvægur
þáttum	nkfþ	þáttur
.	.	.

Spurningunum	nvfþg	spurning
er	sfg3en	vera
því	aa	því
enn	aa	enn
ósvarað	lhensf	ósvaraður
.	.	.

3.	ta	3.
HLUTI	nken	hluti

3.1	ta	3.1
HEIMSPEKILEG	lhfnsf	heimspekilegur
VANDAMÁL	nhfn	vandamál
Nú	aa	nú
þegar	c	þegar
sögu	nveþ	saga
skammtafræðinnar	nveeg	skammtafræði
og	c	og
viðfangsefnum	nhfþ	viðfangsefni
hennar	fpvee	hún
hefur	sfg3en	hafa
verið	ssg	vera
lýst	sþghen	lýsa
gróflega	aa	gróflega
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
huga	sng	huga
að	aþ	að
þeim	fahfþ	sá
heimspekilegu	lhfþvf	heimspekilegur
vandamálum	nhfþ	vandamál
sem	ct	sem
hún	fpven	hún
hefur	sfg3en	hafa
í	aþ	í
för	nveþ	för
með	aþ	með
sér	fpveþ	sig
.	.	.

Þær	favfn	sá
spurningar	nvfn	spurning
sem	ct	sem
menn	nkfn	maður
spyrja	sfg3fn	spyrja
sig	fpkfo	sig
hvað	fshen	hver
