[ [
… nhen
[ [
G. nken-s
… nkeo
] ]
3 ta
) )
[ [
H. nken-s
… nhen
] ]
4 ta
) )
[ [
I. lhenvm
… nhen
] ]
5 ta
) )
[ [
J. nken-s
… nhen
] ]
6 ta
) )
[ [
K. lhenof
… nhen
7 ta
) )
] ]
8 ta
) )
[ [
L. lhensf
… nhen
] ]
9 ta
) )
[ [
M. nken-s
… nhen
] ]
10 ta
) )
[ [
N. x
… nhen
11 ta
) )
] ]
12 ta
) )
[ [
O. nhfe
… nhen
7 ta
) )
] ]
13 ta
) )
[ [
P. nkee-s
… nhen
14 ta
) )
] ]
15 ta
) )
[ [
Q. nken-s
… nhfn
7 ta
) )
] ]
16 ta
) )
[ [
R. nken-s
… nhen
14 ta
) )
] ]
17 ta
) )
[ [
S. e
… nhen
14 ta
) )
] ]
17 ta
) )
[ [
T. nkeþ-s
[ [
[ [
Ráðherra nken
] ]
18 ta
) )
er sfg3en
heimilt lhensf
að cn
gera sng
samninga nkfo
við ao
sauðfjárbændur nkfo
á aþ
lögbýlum nhfþ
með ao
greiðslumark nheo
, ,
sem ct
hafa sfg3fn
náð ssg
eða c
ná sng
64 ta
ára nhfe
aldri nkeþ
á aþ
tímabilinu nheþg
2008 ta
– nhen
2013 ta
, ,
um ao
að cn
eiga sng
hvorki c
né c
halda sng
sauðfé nheþ
til aa
og c
með aþ
31. ta
desember nkeo
2013 ta
en c
halda sng
óskertum lhfþsf
beingreiðslum nhfþ
á aþ
sama fbkeþ
tíma nkeþ
á aa
meðan c
greiðslumark nhen
sauðfjár nhee
er sfg3en
í aþ
eigu nveþ
hlutaðeigandi lkfeof
bænda nkfe
og c
áfram aa
skráð sþgven
á aþ
lögbýli nheþ
. .
 
Þeim fphfþ
er sfg3en
þó aa
heimilt lhensf
að cn
halda sng
eftir ao
allt foheo
að aþ
tíu tfvfþ
vetrarfóðruðum lvfþsf
kindum nvfþ
, ,
enda nkeþ
séu svg3fn
afurðir nvfn
þeirra fpvfe
til ae
eigin lhfeof
nota nhfe
. .
 
Ráðherra nken
er sfg3en
jafnframt aa
heimilt lhensf
að cn
kveða sng
svo aa
á aa
í aþ
samningunum nkfþg
að c
þeir fakfn
bændur nkfn
sem ct
hyggjast ssm
hefja sng
sauðfjárrækt nveo
að aþ
nýju lheþsf
megi svg3en
koma sng
sér fpkfþ
upp ao
bústofni nkeþ
frá aþ
1. ta
september nkeþ
2012 ta
. .
 
Samningunum nkfþg
skal sfg3en
þinglýst lvensf
sem ct
kvöðum nvfþ
á aþ
viðkomandi lheþof
lögbýli nheþ
sem ct
gilda sfg3fn
til ae
31. ta
desember nkee
2013 ta
. .
 
Verði svg3en
eigendaskipti nhfn
að aþ
greiðslumarki nheþ
eða c
lögbýli nheþ
fellur sfg3en
samningurinn nkeng
niður aa
og c
hin gven
þinglýsta lvenve
kvöð nven
. .
] ]
13 ta
) )
[ [
Ráðherra nken
er sfg3en
heimilt lhensf
að cn
framlengja sng
samninga nkfo
þessa fakfo
… nheo
, ,
19 ta
) )
verði svg3en
eftir aþ
því aa
leitað sþghen
, ,
svo aa
að c
þeir fpkfn
gildi svg3fn
til ae
31. ta
desember nkee
[ [
2017 ta
] ]
. .
 
19 ta
) )
Þá aa
er sfg3en
jafnhliða aa
heimilt lhensf
að cn
kveða sng
svo aa
á aa
, ,
í aþ
hinum gkfþ
framlengdu lkfþvf
samningum nkfþ
, ,
að c
þeir fakfn
bændur nkfn
sem ct
hyggjast sfm3fn
hefja sng
sauðfjárrækt nveo
að aþ
nýju lheþsf
megi svg3fn
koma sng
sér fpkfþ
upp ao
bústofni nkeþ
frá aþ
1. ta
september nkeþ
[ [
2016 ta
] ]
. .
 
19 ta
) )
Ráðherra nken
er sfg3en
einnig aa
heimilt lhensf
að cn
gera sng
samninga nkfo
sem ct
þessa faveo
við ao
bændur nkfo
sem ct
hafa sfg3fn
náð ssg
eða c
ná sfg3fn
64 ta
ára nhfe
aldri nkeþ
á aþ
tímabilinu nheþg
2014 ta
– nhen
[ [
2017 ta
] ]
, ,
19 ta
) )
enda c
öðlist svm3fn
samningarnir nkfng
fyrst aae
gildi nheo
á aþ
þeim fakeþ
tíma nkeþ
. .
] ]
20 ta
) )
] ]
21 ta
) )
[ [
U. ao
… nheo
7 ta
) )
Ú. nken-s
… nhfn
7 ta
) )
] ]
14 ta
) )
[ [
V. lhenvm
… nhen
7 ta
) )
] ]
22 ta
) )
[ [
W. nken-s
… nhfn
7 ta
) )
X. nken-s
… nhfn
7 ta
) )
] ]
23 ta
) )
[ [
Y. ao
… nheo
7 ta
) )
] ]
24 ta
) )
[ [
Z. nken-s
… nhfn
7 ta
) )
] ]
25 ta
) )
[ [
AA nven-s
. .
 
Samningur nken
um ao
starfsskilyrði nhfo
sauðfjárræktar nvee
frá aþ
25. ta
janúar nkeþ
2007 ta
, ,
með aþ
síðari lvfþvm
breytingum nvfþ
, ,
fellur sfg3en
niður ao
1. ta
janúar nkeo
2017 ta
, ,
þó aa
heldur c
ákvæði nhfn
til ae
bráðabirgða nvfe
T aa
gildi nheþ
sínu feheþ
til ae
31. ta
desember nkee
2017. ta
] ]
26 ta
) )
1 ta
) )
L. nhfe
 
121/1995 ta
, ,
1. ta
gr. nven
2 ta
) )
Ákvæðinu nheþgs
var sfg3eþ
breytt lvensf
með ao
l. lhfosf
147/1995 ta
, ,
3. ta
gr. nveo
3 ta
) )
L. nhfe
 
85/1994 ta
, ,
3. ta
gr. nveo
4 ta
) )
L. nhfe
 
141/1994 ta
, ,
2. ta
gr. nveo
5 ta
) )
L. nhfe
 
87/1995 ta
, ,
brbákv nhen
. .
 
I. nhen
6 ta
) )
L. nhfe
 
87/1995 ta
, ,
brbákv nhen
. .
 
II. ta
 
7 ta
) )
L. nhfe
 
102/2016 ta
, ,
41. ta
gr. nveo
8 ta
) )
L. nhfe
 
99/1995 ta
, ,
brbákv. nveo
, ,
sbr. as
l. lhfosf
124/1995 ta
, ,
21. ta
gr. nveo
9 ta
) )
L. nhfe
 
124/1995 ta
, ,
brbákv nhen
. .
 
I. nhen
10 ta
) )
L. nhfe
 
124/1995 ta
, ,
brbákv nhen
. .
 
II. ta
 
11 ta
) )
L. nhfe
 
77/1997 ta
, ,
3. ta
gr. nveo
12 ta
) )
L. nhfe
 
124/1995 ta
, ,
brbákv nhen
. .
 
III. ta
 
13 ta
) )
L. nhfe
 
130/1998 ta
, ,
brbákv nhen
. .
 
14 ta
) )
L. nhfe
 
58/2007 ta
, ,
23. ta
gr. nveo
15 ta
) )
L. nhfe
 
88/2000 ta
, ,
brbákv nhen
. .
 
16 ta
) )
L. nhfe
 
84/2002 ta
, ,
brbákv nhen
. .
 
17 ta
) )
L. nhfe
 
101/2002 ta
, ,
5. ta
gr. nveo
18 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
19 ta
) )
L. nhfe
 
129/2012 ta
, ,
8. ta
gr. nveo
20 ta
) )
L. nhfe
 
67/2009 ta
, ,
6. ta
gr. nveo
21 ta
) )
L. nhfe
 
131/2003 ta
, ,
1. ta
gr. nveo
22 ta
) )
L. nhfe
 
173/2008 ta
, ,
2. ta
gr. nveo
23 ta
) )
L. nhfe
 
46/2010 ta
, ,
2. ta
gr. nveo
24 ta
) )
L. nhfe
 
140/2013 ta
, ,
39. ta
gr. nveo
25 ta
) )
L. nhfe
 
46/2015 ta
, ,
9. ta
gr. nveo
26 ta
) )
L. nhfe
 
102/2016 ta
, ,
42. ta
gr. nveo
 
